Class Name,Image Count
Abies_alba,68
Abies_cephalonica,31
Acacia_dealbata,67
Acanthus_mollis,110
Acer_campestre,385
Acer_monspessulanum,322
Acer_negundo,411
Acer_opalus,177
Acer_palmatum,66
Acer_platanoides,259
Acer_pseudoplatanus,247
Acer_saccharinum,125
Achillea_filipendulina,14
Achillea_millefolium,126
Achillea_ptarmica,50
Aconitum_lycoctonum,89
Aconitum_napellus,112
Adenostyles_alliariae,52
Adonis_annua,56
Aegopodium_podagraria,53
Aesculus_hippocastanum,363
Aethionema_saxatile,35
Agave_americana,67
Agave_sisalana,96
Agrimonia_eupatoria,114
Agrostemma_githago,41
Ailanthus_altissima,283
Ajuga_chamaepitys,43
Ajuga_genevensis,38
Ajuga_iva,53
Ajuga_reptans,109
Albizia_julibrissin,227
Alcea_rosea,144
Alfalfa_Plant_Bug,1400
Alfalfa_Seed_Chalcid,467
Alfalfa_Weevil,185
Alliaria_petiolata,129
Allium_narcissiflorum,41
Allium_nigrum,39
Allium_polyanthum,58
Allium_schoenoprasum,57
Allium_sphaerocephalon,30
Allium_triquetrum,39
Allium_ursinum,84
Alnus_alnobetula,48
Alnus_cordata,156
Alnus_glutinosa,290
Althaea_cannabina,79
Althaea_officinalis,55
Amaranthus_deflexus,51
Ambrosia_artemisiifolia,55
Amelanchier_ovalis,143
Ammophila_arenaria,31
Amorpha_fruticosa,140
Anacamptis_champagneuxii,19
Anacamptis_laxiflora,40
Anacamptis_morio,86
Anacamptis_pyramidalis,115
Anacyclus_clavatus,73
Anarrhinum_bellidifolium,52
Anchusa_italica,52
Androsace_villosa,35
Andryala_integrifolia,71
Anemone_alpina,129
Anemone_coronaria,49
Anemone_hepatica,117
Anemone_nemorosa,99
Anemone_pulsatilla,67
Anemone_ranunculoides,30
Anemone_rubra,60
Anemone_vernalis,37
Angelica_heterocarpa,40
Angelica_sylvestris,118
Antennaria_dioica,61
Anthemis_maritima,25
Anthericum_liliago,70
Anthoxanthum_odoratum,43
Anthriscus_sylvestris,93
Anthyllis_hermanniae,39
Anthyllis_montana,58
Anthyllis_vulneraria,104
Antirrhinum_majus,114
Aphyllanthes_monspeliensis,78
Apple_Aphid,439
Apple_Blossom_Weevil,311
Apple_Codling_Moth,388
Apple_Leaf_Miner,1304
Apple_Maggot,189
Apple_Red_Spider,168
Apple_Sawfly,404
Apple_Scab_Leaf,93
Apple___Apple_scab,630
Apple___Black_rot,621
Apple___Cedar_apple_rust,275
Apple___healthy,1638
Apple_leaf,91
Apple_rust_leaf,88
Aquilegia_vulgaris,127
Arabidopsis_thaliana,55
Arbutus_unedo,509
Arctium_lappa,38
Arctium_minus,82
Argyrolobium_zanonii,42
Aristolochia_clematitis,102
Aristolochia_pistolochia,52
Aristolochia_rotunda,46
Armeria_alpina,23
Armeria_arenaria,70
Armeria_maritima,63
Armyworm,147
Arnica_montana,74
Artemisia_vulgaris,60
Arum_italicum,106
Arum_maculatum,53
Arundo_donax,90
Asiatic_Rice_Borer,1053
Asparagus_acutifolius,78
Asparagus_officinalis,42
Asphodelus_albus,54
Asphodelus_cerasiferus,42
Asphodelus_ramosus,41
Asplenium_adiantum_nigrum,31
Asplenium_ceterach,37
Asplenium_ruta_muraria,40
Asplenium_scolopendrium,58
Asplenium_trichomanes,107
Aster_alpinus,66
Astragalus_glycyphyllos,46
Astragalus_hamosus,31
Astragalus_monspessulanus,48
Astrantia_major,95
Astrantia_minor,64
Athyrium_filix_femina,41
Atriplex_prostrata,47
Atropa_belladonna,29
Aucuba_japonica,43
Ballota_nigra,48
Barbarea_vulgaris,54
Bartsia_alpina,31
Bartsia_trixago,32
Bean_Pyralid,855
Beet_Armyworm,485
Beet_Flea_Beetle,137
Beet_Fly,233
Beet_Nematode,339
Beet_Weevil,245
Bell_pepper_leaf,61
Bell_pepper_leaf_spot,71
Bellevalia_romana,40
Bellis_perennis,158
Berardia_lanuginosa,21
Berberis_japonica,89
Berberis_vulgaris,83
Berteroa_incana,64
Beta_vulgaris,58
Betonica_officinalis,96
Betula_pendula,437
Betula_pubescens,57
Betula_utilis,143
Bidens_pilosa,149
Bistorta_officinalis,31
Bituminaria_bituminosa,67
Black_grass_Seedling,309
Blackstonia_imperfoliata,24
Blackstonia_perfoliata,81
Blechnum_spicant,39
Blister_Beetle,177
Blueberry___healthy,1502
Blueberry_leaf,114
Borago_officinalis,104
Brassica_napus,65
Broussonetia_papyrifera,330
Brown_Planthopper,834
Bryonia_cretica,139
Buddleja_davidii,244
Buglossoides_purpurocaerulea,44
Bupleurum_fruticosum,84
Bupleurum_ranunculoides,28
Buxus_sempervirens,459
Cabbage___healthy,200
Cakile_maritima,82
Calendula_arvensis,69
Calendula_officinalis,40
Calluna_vulgaris,87
Caltha_palustris,96
Campanula_glomerata,109
Campanula_latifolia,38
Campanula_medium,42
Campanula_patula,49
Campanula_persicifolia,76
Campanula_rapunculus,54
Campanula_rhomboidalis,45
Campanula_rotundifolia,76
Campanula_scheuchzeri,105
Campanula_trachelium,93
Canna_indica,25
Capparis_spinosa,109
Capsella_bursa_pastoris,83
Cardamine_amara,46
Cardamine_flexuosa,28
Cardamine_heptaphylla,62
Cardamine_pratensis,78
Carduus_acanthoides,25
Carduus_carlinoides,42
Carduus_defloratus,97
Carduus_nigrescens,53
Carduus_nutans,63
Carduus_pycnocephalus,53
Carex_flacca,53
Carex_otrubae,21
Carex_riparia,22
Carica_papaya,46
Carlina_acanthifolia,60
Carlina_acaulis,62
Carlina_corymbosa,68
Carpinus_betulus,326
Carpobrotus_edulis,39
Carthamus_lanatus,37
Cassava___Brown_streak,50
Cassava___Mosaic_disease,150
Cassava___healthy,336
Castanea_sativa,315
Casuarina_cunninghamiana,96
Catalpa_bignonioides,83
Catananche_caerulea,55
Cedrus_atlantica,46
Celtis_australis,465
Centaurea_aspera,102
Centaurea_calcitrapa,70
Centaurea_corymbosa,47
Centaurea_decipiens,72
Centaurea_jacea,105
Centaurea_nigra,38
Centaurea_paniculata,52
Centaurea_pectinata,60
Centaurea_scabiosa,86
Centaurium_erythraea,63
Centaurium_maritimum,20
Centella_asiatica,73
Centranthus_angustifolius,41
Centranthus_ruber,204
Cephalanthera_longifolia,73
Cephalanthera_rubra,55
Cephalaria_leucantha,65
Cerastium_glomeratum,42
Ceratonia_siliqua,88
Cercis_siliquastrum,515
Chaenorrhinum_minus,33
Chamaerops_humilis,104
Charlock_Seedling,452
Chelidonium_majus,163
Chenopodium_album,51
Cherry_(including_sour)___Powdery_mildew,1052
Cherry_(including_sour)___healthy,854
Cherry_leaf,57
Chilli___Anthracnose,426
Chilli___Damping_Off,162
Chilli___Leaf_Curl_Virus,483
Chilli___Leaf_Spot,500
Chilli___Veinal_Mottle_Virus,1716
Chilli___Whitefly,494
Chilli___Yellowish,439
Chilli___healthy,2044
Chinee_Apple_Weed,1125
Chondrilla_juncea,46
Cichorium_intybus,187
Circaea_lutetiana,83
Cirsium_acaulon,44
Cirsium_arvense,113
Cirsium_eriophorum,95
Cirsium_oleraceum,43
Cirsium_palustre,106
Cirsium_vulgare,145
Cistus_albidus,158
Cistus_monspeliensis,43
Cistus_salviifolius,117
Citrus_Aphid,307
Citrus_Flatid_Planthopper,176
Citrus_Leafminer,140
Citrus_Longhorned_Beetle,5309
Citrus_Psyllids,79
Citrus_Red_Mite,764
Citrus_Spiny_Whitefly,84
Citrus_Whitefly,283
Citrus_limon,39
Cleavers_Seedling,335
Clematis_flammula,68
Clematis_vitalba,186
Clinopodium_nepeta,91
Clinopodium_vulgare,89
Cneorum_tricoccon,49
Cochlearia_danica,52
Colchicum_autumnale,31
Colutea_arborescens,79
Common_Chickweed_Seedling,713
Common_wheat_Seedling,252
Convallaria_majalis,31
Convolvulus_althaeoides,39
Convolvulus_arvensis,140
Convolvulus_cantabrica,59
Convolvulus_sepium,66
Convolvulus_soldanella,68
Coriaria_myrtifolia,59
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513
Corn_(maize)___Common_rust_,1192
Corn_(maize)___Northern_Leaf_Blight,985
Corn_(maize)___healthy,1162
Corn_Borer,887
Corn_Earworm,479
Corn_Gray_leaf_spot,66
