Class Name,Image Count
Aphid,903
Apple___Apple_scab,630
Apple___Black_rot,621
Apple___Cedar_apple_rust,275
Apple___healthy,1645
Bean,1400
Bitter_Gourd,1400
Black_Rust,576
Blast,647
Blight,1146
Blueberry___healthy,1502
Bottle_Gourd,1400
Brinjal,1400
Broccoli,1400
Brown_Rust,1271
Cabbage,1600
Cabbage___healthy,200
Capsicum,1400
Carrot,1400
Cassava___Brown_streak,50
Cassava___Mosaic_disease,151
Cassava___healthy,336
Cauliflower,1400
Cherry_(including_sour)___Powdery_mildew,1052
Cherry_(including_sour)___healthy,854
Chilli__Anthracnos,438
Chilli__Damping_Off,168
Chilli__Leaf_Curl_Virus,500
Chilli__Leaf_Spot,500
Chilli__Veinal_Mottle_Virus,2000
Chilli___Anthracnose,438
Chilli___Damping_Off,168
Chilli___Leaf_Curl_Virus,500
Chilli___Leaf_Spot,500
Chilli___Veinal_Mottle_Virus,2000
Chilli___Whitefly,500
Chilli___Yellowish,500
Chilli___healthy,2066
Common_Root_Rot,614
Common_Rust,1306
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513
Corn_(maize)___Common_rust_,1192
Corn_(maize)___Northern_Leaf_Blight,985
Corn_(maize)___healthy,1162
Cotton___Bacterial_blight,448
Cotton___Curl_virus,417
Cotton___Fusarium_wilt,419
Cotton___healthy,425
Cucumber,1400
Early_Blight,1303
Fusarium_Head_Blight,611
Ginger___healthy,187
Grape___Black_rot,1180
Grape___Esca_(Black_Measles),1383
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076
Grape___healthy,423
Gray_Leaf_Spot,574
Late_Blight,1142
Leaf_Blight,842
Mildew,1081
Mite,800
Onion___healthy,390
Orange___Haunglongbing_(Citrus_greening),5507
Papaya,1400
Peach___Bacterial_spot,2297
Peach___healthy,360
"Pepper,_bell___Bacterial_spot",997
"Pepper,_bell___healthy",1478
Potato,1658
Potato___Early_blight,1500
Potato___Late_blight,1500
Potato___healthy,910
Pumpkin,1400
Radish,1400
Raspberry___healthy,371
Rice___Bacterial_leaf_blight,40
Rice___Brown_spot,40
Rice___Leaf_smut,40
Septoria,1144
Smut,1310
Soybean___healthy,5090
Squash___Powdery_mildew,1835
Stem_fly,234
Strawberry___Leaf_scorch,1109
Strawberry___healthy,456
Tan_spot,770
Tobacco___healthy,1290
Tomato,1400
Tomato___Bacterial_spot,3227
Tomato___Early_blight,2100
Tomato___Late_blight,3009
Tomato___Leaf_Mold,2052
Tomato___Septoria_leaf_spot,2871
Tomato___Spider_mites Two-spotted_spider_mite,1676
Tomato___Spider_mites_Two_spotted_spider_mite,1100
Tomato___Target_Spot,2504
Tomato___Tomato_Yellow_Leaf_Curl_Virus,6457
Tomato___Tomato_mosaic_virus,1473
Tomato___healthy,2691
Vegetable___Bean,1400
Vegetable___Bitter_Gourd,1400
Vegetable___Bottle_Gourd,1400
Vegetable___Brinjal,1400
Vegetable___Broccoli,1400
Vegetable___Cabbage,1400
Vegetable___Capsicum,1400
Vegetable___Carrot,1400
Vegetable___Cauliflower,1400
Vegetable___Cucumber,1400
Vegetable___Papaya,1400
Vegetable___Potato,1400
Vegetable___Pumpkin,1400
Vegetable___Radish,1400
Vegetable___Tomato,1400
Wheat___Aphids,903
Wheat___Blast,647
Wheat___Common_root_rot,614
Wheat___Fusarium_head_blight,661
Wheat___Leaf_blight,842
Wheat___Mildew,1131
Wheat___Smut,1360
Wheat___Tan_spot,770
Wheat___Yellow_rust,3248
Wheat___healthy,1050
Yellow_Rust,1301
aphid_test,50
aphid_valid,20
aphids,314
armyworm,308
bacterial_blight,448
beetle,312
black_rust_test,50
black_rust_valid,20
blast_test,50
blast_test_valid,20
bollworm,312
brown_rust_test,50
brown_rust_valid,20
brown_streak,50
chilli,190
common_root_rot_test,50
common_root_rot_valid,20
curl_virus,417
folds,0
fusarium_head_blight_test,50
fusarium_head_blight_valid,20
fussarium_wilt,419
ginger,187
grasshopper,309
healthy,3503
healthy1,336
healthy_test,50
healthy_valid,20
imgs,3500
leaf_blight_test,50
leaf_blight_valid,20
masks,3500
mildew_test,50
mildew_valid,20
mite_test,50
mite_valid,20
mites,319
mosaic_disease1,151
mosquito,304
onion,390
sawfly,315
septoria_test,50
septoria_valid,20
smut_test,50
smut_valid,20
stem_borer,303
stem_fly_test,50
stem_fly_valid,20
tan_spot_test,50
tan_spot_valid,20
tobacco800,1290
unhealthy,100
yellow_rust_test,50
yellow_rust_valid,20
